disease,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,obesity,n,n,n,n,n,n,n,n,n,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,n,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,n,obesity,n,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,n,obesity,obesity,obesity,n,n,n,obesity,n,n,obesity,n,obesity,n,n,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,n,n,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,n,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,2.35723,0.8241,0.9771,1.1147,1.58537,2.23483,,1.44366,0.31811,3.46437,0.23527,1.44414,0.17828,2.3329,5.95363,2.61396,8.71791,7.29562,0.76137,4.58548,1.37232,0.37187,0.48838,,,2.8797,2.6494,,0.872,0.64434,2.52911,7.28348,1.9621,0.5479,3.13671,1.9628,0.746,1.68776,3.2491,2.4834,1.99951,0.748,1.1285,1.67122,0.38653,0.7346,2.4991,0.49,1.7718,0.757,2.57,1.77141,4.9242,1.46621,3.18317,2.26999,2.65676,2.55854,0.321,0.34213,0.428,0.73694,,,2.44359,6.9315,0.67,,2.6837,0.27936,0.46668,0.12121,2.8653,1.74188,1.487,0.47459,2.81121,5.3262,0.3154,0.54881,1.59431,0.799,,4.29588,0.97473,0.112,7.24,1.7224,0.6619,0.2546,,0.34898,8.44366,4.498,0.1952,2.52385,1.4488,1.65655,,,0.31988,0.85,0.55971,0.19817,0.6267,2.82385,0.25523,3.83716,0.4759,,2.289,2.93341,0.14394,4.43662,1.99842,,1.25434,2.7443,0.16697,11.8369,1.9686,0.529,0.84874,0.171,2.52293,0.29684,0.364,0.81912,0.44848,4.9367,,0.1196,2.89657,0.25787,1.215,1.18217,4.33679,,1.7358,,,0.52834,,,3.611,8.24474,3.4834,,0.97942,,0.23746,2.95576,,0.49437,3.86329,0.53283,6.6238,0.32318,1.98515,0.32374,1.82916,0.169,0.15,14.23561,6.68244,1.14664,0.3811,2.42526,0.1149,0.78677,0.9127,,0.23,,0.7592,0.4731,2.45683,2.48625,2.77613,4.6716,1.534,2.7782,0.253,0.2279,1.82739,0.4278,,0.33992,1.29818,1.513,0.18673,2.2775,,2.4191,1.2983,3.51156,1.97331,0.59769,0.19258,0.43516,1.1345,4.62295,1.14169,0.96984,0.31622,2.7924,0.35154,1.9283,8.85599,2.57789,0.58896,0.47447,3.7715,0.523,0.77126,1.25726,3.4166,12.217,3.7557,5.33984,0.17261,2.34578,3.13122,0.7532,0.67562,0.1436,0.82199,0.468,,2.76583,7.9723,2.82413,2.7826,0.54163,0.72137,0.7654,0.52653,0.81283,2.81941,,4.7679,0.5234,0.76876,0.3274,0.8768,1.8625,0.71,,1.9138,4.52845,0.61346,1.98398,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,0.2279,0.45271,0.6743,0.25354,0.12914,0.24354,0.18788,0.16266,1.11573,0.56787,0.1814,0.28367,0.22926,0.8278,0.22624,0.11129,0.52851,0.9532,0.22293,0.7138,0.19797,0.39286,0.3949,0.27775,0.45367,0.1258,0.28455,0.18154,0.47816,0.16671,0.9759,0.1151,0.4281,0.3318,0.41871,0.1126,0.2439,0.2865,0.31147,0.14674,0.1791,0.1465,0.21982,0.4643,0.44853,0.39536,0.33164,0.36781,0.15177,0.28382,0.1242,0.65913,0.2126,0.13593,0.275,0.7426,0.1376,0.11578,0.5293,0.125,0.15426,1.286,0.46699,1.44839,0.7641,0.1374,0.31559,0.165,0.34465,0.16488,0.1859,0.248,0.33229,0.25253,0.6138,0.64738,1.1691,0.25331,0.37111,0.16744,0.4661,0.9127,0.3769,0.3769,0.6171,0.37352,0.44416,0.45729,1.13718,0.6814,0.2123,0.791,0.8646,0.4489,0.642,0.299,0.7253,0.59821,,0.3632,0.11828,1.915,0.2951,0.373,0.63614,0.5459,0.5288,0.17428,0.8244,0.62737,0.1761,0.5344,0.43677,0.6798,0.4875,0.35753,0.14779,0.53327,0.46531,0.5611,0.49745,0.9416,0.757,0.15922,0.46969,0.18328,0.59254,0.3573,0.1935,0.6577,0.432,0.37549,0.47997,0.2485,0.43657,0.9632,0.29561,0.33622,0.3678,0.3655,0.87141,0.55759,0.68839,0.95857,0.3717,0.32487,0.34769,0.19832,0.15137,1.62342,0.29214,0.23541,0.5882,0.1527,0.3344,0.263,0.85813,0.13639,0.3612,0.48887,0.6722,0.1345,0.45841,,0.87,0.24144,0.9712,0.5242,0.6458,0.63777,1.72846,0.2235,0.2262,0.2663,0.3283,0.11169,0.4789,0.24166,0.41442,0.23623,0.12921,0.1777,0.31712,0.8859,0.25458,0.18844,,0.4375,0.4461,0.15983,0.4773,0.5677,0.9761,0.33442,0.2123,0.7734,0.732,1.35945,0.17821,0.8318,,0.5769,0.258,0.1583,0.383,0.2419,0.1371,0.17591,0.3146,0.32141,0.28873,0.32621,0.1354,0.29812,0.132,0.15121,0.5646,0.34746,0.19438,0.89659,0.22966,0.1484,0.8875,0.569,0.3711,0.3571,0.11559,0.18227,0.32245,0.35738,0.2754,0.1264,0.7416,0.53824,0.21319,0.1592,1.576,0.3495,0.24813,0.932,0.3572,0.28139,0.15649,0.19337,0.61716,0.1598,0.35734,0.3966,0.511,0.21856,0.2458,0.38689,0.5522
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,,0.6441,0.213,0.298,0.182,0.44949,,0.1232,0.917,0.46992,0.253,0.7882,0.622,0.1167,0.484,0.2694,0.43,0.339,0.8414,0.736,0.526,0.5967,0.117,0.3155,0.2217,0.318,0.18413,,0.13341,0.866,0.1326,0.7152,0.5692,0.32,0.1143,,0.13328,0.17911,0.6455,,,0.2416,0.375,0.11153,0.1328,0.11997,0.587,0.13943,0.13666,,0.13541,0.21172,0.6778,0.2717,,0.27449,0.8826,0.475,0.73638,0.412,0.6729,0.63,,0.38466,0.16999,0.3313,0.4447,0.4833,0.5223,0.6622,0.11439,0.5957,0.892,0.1755,0.17247,0.3938,0.68267,0.5572,0.924,0.171,,0.48,,0.967,0.5148,0.2844,0.1512,0.4362,0.78573,0.1873,0.515,0.4216,,0.12937,0.12629,0.3654,0.116,0.5286,0.122,0.5333,0.591,0.246,0.432,0.2245,0.738,0.8185,0.6119,0.2524,,0.777,0.1957,0.11971,0.15444,0.3268,0.6493,0.12528,0.23,0.714,0.276,0.387,0.3334,0.14412,0.5162,0.8886,,0.3714,0.12728,0.19775,,0.17238,0.817,0.198,0.642,0.18544,0.15923,0.27955,0.1276,,0.5144,,,0.3118,0.23761,,0.4496,0.16412,0.5481,0.11959,0.2835,0.3995,0.396,0.17386,0.3158,0.6947,0.14234,0.1991,0.2393,0.7985,0.17512,0.2189,0.522,0.9497,,0.3941,,0.264,0.8122,0.712,0.75,0.63,0.22979,,0.7373,,0.78,0.1179,0.18994,0.487,,0.12299,0.2513,0.1224,0.8821,0.1484,0.769,0.132,,0.57411,0.36114,0.1443,0.7919,,0.5545,0.4512,0.6628,0.1526,0.3463,0.23799,0.896,0.3666,,,0.968,0.166,0.5137,,0.8142,0.3462,0.344,0.11442,0.333,0.5869,0.1596,0.3448,0.724,0.4913,0.246,0.9648,0.41,0.552,0.73,0.294,0.319,0.14888,0.4592,0.5858,0.1675,0.1422,0.597,0.968,0.7558,0.4619,0.6476,0.19692,0.5386,0.1262,,0.1893,,0.1445,0.43476,0.24497,0.7121,0.1285,0.6756,0.8325,0.28263,0.17646,0.35196,0.7719,0.4241,0.28517,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,0.23823,0.4338,2.996,1.8598,0.62197,2.3467,0.79832,1.2179,8.624,1.87366,4.37962,2.29689,1.9765,1.27835,2.13932,1.965,4.89587,4.412,4.85257,1.3931,2.914,4.7736,13.1647,4.54823,5.66473,2.45152,8.3892,1.2526,1.41592,0.2748,2.53877,4.74675,7.4599,7.33521,0.38883,4.82462,5.4256,19.45436,0.7597,0.1533,,5.52242,0.959,9.38597,1.23731,15.5865,4.18223,14.65743,6.95924,,0.322,3.42776,0.99652,1.4162,1.63462,7.87998,0.8551,6.81123,0.31698,1.3641,17.84715,2.96339,0.379,17.97957,2.5668,1.914,18.535,6.9939,3.1485,16.13691,3.12593,1.44653,0.6429,8.21556,0.25482,14.64424,4.62237,8.95437,0.3813,1.63149,12.5568,1.22253,5.1273,15.8247,6.2242,16.74924,0.13,1.56465,0.4245,1.62635,1.42883,1.2524,,11.8582,7.77628,5.92388,0.786,2.96827,0.51,14.41273,8.19239,,3.27692,1.78178,7.73821,5.71917,4.28897,3.282,0.4541,13.26237,1.64448,2.83539,2.63128,7.165,0.34595,12.2325,1.67365,1.3959,0.9196,1.18895,7.19233,1.13614,2.1599,4.5668,0.53649,8.67948,4.99782,4.79852,17.57766,1.5991,22.91975,7.161,9.61116,13.26623,0.5559,0.87553,2.31126,4.84947,0.13968,16.9569,,1.7973,8.84712,1.66163,2.7698,5.6126,6.81122,11.7638,0.2913,6.27427,0.297,3.28921,1.85764,4.56547,15.63831,0.33176,3.93999,19.82979,8.2561,1.4692,1.7419,1.34514,0.41175,4.26,4.25655,0.45393,0.9289,0.9356,0.368,0.81295,2.194,,5.57261,,6.68512,0.8237,3.71386,2.6948,5.741,5.3252,2.21935,2.74635,0.3598,0.3927,2.822,0.26526,0.245,2.6929,17.59627,12.72586,1.42114,4.35162,,0.144,4.6769,1.86865,7.54799,7.34168,2.974,3.8911,5.99445,12.336,6.7543,1.34266,9.5282,4.6475,2.4468,13.15156,5.2462,2.38577,1.22447,0.47231,2.16773,0.4246,3.3752,1.3795,0.72495,6.52287,0.335,1.8486,5.85729,6.55854,6.3773,0.9637,7.51836,0.31175,1.9116,5.49125,2.49913,0.3679,5.7174,2.3193,0.72663,5.12759,11.2611,0.1628,2.17557,3.56596,12.8795,0.281,2.41362,1.376,7.2,3.54476,1.21273,6.1251,17.45229,0.643,2.7397,8.46838,6.76156,0.3682,0.86358
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,2.4136,0.614,0.6692,0.1335,0.4239,4.43875,,4.9557,2.46694,0.2933,1.9491,0.14912,4.79431,0.35752,18.8267,0.5773,1.89986,1.619,0.5244,26.28673,0.55391,3.5885,0.2991,7.74399,0.46269,0.14296,0.2954,2.46464,1.9296,,23.6998,2.95119,11.5927,3.6727,3.9262,1.52473,0.52359,6.8852,0.4785,,0.38252,0.27331,0.4243,0.96247,0.696,1.12741,0.16477,,,,0.61812,3.68684,0.13221,0.95581,1.55695,4.6596,2.52479,11.24829,0.13573,0.1169,,0.538,,0.268,0.1513,0.2881,3.44687,,0.77,0.37778,0.85276,3.78783,0.9525,0.82495,4.71865,0.3968,0.45329,0.369,1.49689,0.1219,2.19151,,,0.53,0.38,,0.8662,0.9313,3.43359,0.12814,1.21965,0.167,0.49986,,2.42922,1.29187,0.1777,0.61776,13.69264,0.15538,0.21375,8.11275,1.14429,,0.2782,0.53665,0.6283,2.25685,0.1554,1.97681,2.8572,0.381,0.54589,0.69862,2.94517,,2.71433,0.9181,3.836,0.2347,0.1662,,0.8188,0.5675,1.3976,0.3222,,0.1293,3.96944,3.21684,0.8441,0.1265,2.617,4.182,2.5928,,4.97199,0.27655,0.2487,1.71765,13.28979,0.4365,2.94955,1.4965,5.863,0.3354,0.3295,,0.63119,0.566,1.21525,0.9918,12.76369,4.43665,2.88195,1.13176,1.28619,0.281,13.66761,3.12937,0.993,,2.411,,,1.36936,2.48675,9.3581,0.92,0.2631,2.5592,0.75,,2.63962,2.57546,0.8656,,0.91293,0.5119,8.784,3.2461,0.11731,0.2573,0.4392,6.79188,1.2163,0.19,0.7771,0.3,6.26582,,,,0.21976,2.7574,2.2954,0.2212,0.75422,0.49199,2.2282,,,0.177,0.1578,6.24547,1.9766,4.95994,16.19376,0.446,0.4142,2.99288,0.94354,0.1934,0.16567,2.26354,0.798,0.117,,0.4322,0.24263,0.4192,0.48597,3.96473,0.38438,0.965,0.7466,3.14839,0.3698,0.24661,0.86547,4.18137,0.371,0.78366,1.91338,0.52715,6.33124,0.4191,6.295,0.2279,0.3138,1.494,1.24842,0.3118,0.27634,0.3659,2.1595,2.7387,0.1139,2.1423,0.1958,1.28149,0.726,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,0.624,0.165,0.4436,0.3489,0.181,0.181,,0.266,0.1377,0.53369,0.3363,0.8764,0.25471,0.652,0.71,0.1962,0.6894,0.51596,,0.1942,0.38144,0.5831,0.48885,0.4277,0.78,0.4222,,,0.1619,0.565,,0.1334,0.2653,0.8484,0.157,0.1364,0.3524,0.1655,0.36288,0.2156,0.9758,0.23745,0.438,0.2141,0.99846,0.32454,0.11792,0.5748,0.38351,,0.1589,0.3135,0.6119,0.51953,0.784,0.4576,0.13791,0.7777,0.17494,0.11842,0.29394,0.1951,,0.4897,0.6651,0.989,0.22688,,,0.6615,0.818,0.211,0.5392,0.6631,0.12894,0.3,0.45553,0.1643,0.27524,0.65399,0.6116,,0.61284,0.25956,0.67968,0.31967,0.18596,0.3885,,0.25773,0.2446,0.258,0.6398,,0.56323,0.74155,0.17523,0.1656,,0.423,0.665,,,0.1511,1.46497,,0.21586,0.1212,,0.1389,0.2769,0.8622,1.26531,0.671,0.486,0.68853,0.1373,1.31831,0.37763,0.24217,,,0.9,0.22566,0.3536,0.18425,0.2473,0.22327,0.22444,0.285,0.6615,,0.7692,0.51383,0.26532,0.1382,0.1899,0.24644,0.12149,0.43,,0.99165,0.25194,0.26486,0.994,0.12696,0.8264,0.169,0.1171,0.4944,0.377,0.2991,0.22584,0.11657,0.24157,0.2961,0.2118,0.1653,1.3716,0.38677,0.29465,0.48822,0.26279,0.31779,0.37,0.24699,0.6938,0.95,0.2832,0.347,3.965,,0.53,,0.3254,,0.22813,0.19137,0.2928,0.8196,0.6754,0.2342,0.499,,0.47147,0.785,,0.393,0.15462,0.1969,0.523,,,0.428,0.53453,0.929,0.18498,0.1423,0.2648,0.18248,,0.27112,0.3662,0.26331,0.222,0.7891,0.28855,0.14,0.1531,0.11863,0.49514,0.1197,0.553,0.18414,0.391,0.6115,0.359,,0.3116,0.433,0.2118,0.2987,0.16965,,0.1654,0.135,0.67777,0.14146,,0.16358,0.38631,0.125,0.861,0.1188,0.173,0.355,0.8,0.17853,,0.17511,0.651,0.11,0.253,0.1184,0.96229,0.5892,0.28619,0.1238,0.41872,0.2852,0.278,0.22338,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,0.773,0.7565,0.12216,0.1454,0.698,0.25631,0.1147,0.2868,0.11788,0.225,0.469,,0.1717,0.937,0.912,0.1749,0.463,0.367,0.19619,0.641,0.13387,0.88,0.3154,0.612,0.2757,0.1798,0.3845,,0.4761,0.566,0.552,0.413,0.393,0.1884,0.929,0.2283,0.9244,0.177,0.774,0.4117,0.2163,0.4124,0.8512,0.14737,0.394,0.6783,0.9726,0.4978,0.1634,0.41,0.271,0.876,0.184,,0.13,0.8785,0.1564,0.1341,0.324,0.1369,0.1341,0.6962,0.18,1.274,0.1441,0.4223,0.68,0.8392,0.3564,0.17881,0.79,0.1882,0.2573,0.15252,0.6565,0.1979,0.12346,0.84,0.892,0.327,0.9814,0.1931,0.711,0.6736,0.4153,0.4331,0.7788,0.12671,0.9493,0.24,0.24,,0.644,0.6529,0.2161,0.796,0.561,0.3513,0.793,0.449,0.221,0.7375,,0.859,0.15849,0.32,0.1525,0.23353,,0.867,0.81,0.791,0.8491,0.714,0.64,0.3954,0.4637,0.11629,0.2678,,0.388,0.119,0.8515,0.5636,0.3493,0.1581,0.25663,0.4362,0.876,0.9458,0.4518,0.8222,0.1782,0.15,0.1963,0.349,0.13337,0.358,0.2183,0.875,0.11773,0.611,0.259,0.851,0.7929,0.15365,0.8224,0.984,0.6266,0.1872,,0.771,0.1148,0.127,0.1286,0.187,0.9896,0.55,0.8667,0.6424,0.172,0.2937,0.26646,0.41,0.123,0.93,0.553,0.439,0.33759,0.25392,0.2943,0.1319,0.482,0.833,0.36,0.5333,0.359,0.1937,0.75,0.2319,0.94,0.1536,0.833,0.144,0.26432,0.1764,,0.317,0.5445,0.1399,0.325,0.635,0.618,0.141,0.1176,0.284,,0.219,0.19,0.126,0.126,0.9185,0.588,0.769,0.3448,0.16352,0.3851,0.2172,0.3414,0.369,0.1943,0.911,0.141,0.5351,0.1882,0.31,0.3771,0.1562,0.2463,0.5281,0.347,0.26,0.1716,0.1889,0.116,0.1183,0.7,0.387,0.618,0.61,0.317,0.829,0.17992,0.266,0.2151,0.221,0.256,0.967,0.7132,0.781,0.1837,0.514,0.598,0.529,0.199,0.2456,0.289,0.715,0.625,0.365,0.957,0.488,0.367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,,,,,,,,,,,0.332,,,,,,,,,,,,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3637,,,,,,,,,,,0.358,,,0.2516,,,0.1424,,,,,,,,,0.2341,,,,,,0.45,,,,0.2731,,,,,,,0.3858,,,,,,,0.145,,0.1222,,0.67,,,0.1788,,,,,,,,0.946,0.623,,,,,0.359,,,,,,0.784,,,,,,,,0.877,,,,,,,,,,,,0.1665,,,,,,,,,,,,,,,,,,,,,,,,0.496,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,0.328,0.141,0.186,,,,,,,0.46,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,0.26,,,,,,,0.127,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,,0.94,,0.16,4.12677,0.34,0.928,,,,,,,,,,,,,,,,,,,,,8.2386,,,,,,0.2799,,,,,,0.474,0.1168,,,,0.736,,,0.23,0.775,0.1776,,,,,,0.969,,,,0.25,0.3289,0.65,0.33236,2.4761,,,0.66,0.2763,,,,,,,,0.12294,0.13,,0.4684,,,0.316,0.911,,,0.1135,,,,,0.683,,0.3941,0.247,,,0.589,,0.53387,0.32832,,0.5889,,0.287,0.1457,,,,,,,,0.97,,0.2323,0.5446,,,,3.8546,0.291,0.117,,0.2735,,,0.73,0.2825,3.51119,,,0.111,,,0.2387,,,,,0.4331,0.49262,0.319,,0.172,,,0.445,,,0.57,,,,,,,,0.243,,,,0.452,,0.18971,0.19327,,,,0.6752,0.16664,0.3325,0.7371,0.2561,1.21183,,,,,0.2119,0.644,0.935,,0.9113,1.636,,,3.48672,,0.1638,,0.3518,0.12437,0.75168,0.1715,0.16,,0.411,,0.255,,0.66163,0.14,,,0.3846,,,,0.1797,,,,,,,0.14,0.3993,0.995,,,,,0.171,,,,,,0.1321,0.18376,,,,,,,,,0.339,4.19372,,,,0.754,,0.68,,,0.18,1.1596,0.23,0.124,0.11155
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum,0.2828,0.31141,0.29323,0.24467,0.9315,0.42563,0.626,0.1449,0.42255,0.58314,0.19483,0.13911,0.25259,0.33964,0.23813,0.6918,0.49397,0.42723,0.18267,0.18242,0.22354,0.21989,0.3927,0.2674,0.27199,0.1424,0.38947,0.24961,0.4945,0.41423,0.7274,0.22465,0.38969,0.16472,0.12675,0.19181,0.4347,0.37561,0.28722,0.3466,0.88987,0.26847,0.1313,0.3563,0.29927,0.1887,0.21768,0.35885,0.9629,0.3855,0.34867,0.453,0.34164,0.2896,0.14688,0.23872,0.41346,0.26786,0.3922,0.1142,0.8751,0.8336,0.1449,0.288,0.43377,0.36932,0.22931,0.19156,0.15618,0.14737,0.19189,0.1289,0.1744,0.12331,0.34231,1.44573,1.7936,0.1872,0.1239,0.4542,0.43769,0.594,0.2145,0.24571,0.2579,0.679,0.11354,0.14851,0.5197,0.64383,0.753,0.485,0.8645,0.988,0.27387,0.12894,0.1368,0.22351,0.24559,0.39846,0.5424,0.4719,0.16133,0.7642,0.934,0.3744,0.26647,0.21,0.4884,0.1277,0.13793,0.2488,0.1413,0.24161,0.2966,0.5646,0.7632,0.49641,0.1724,0.6538,0.16745,0.7167,0.1168,0.1837,0.26568,0.3441,0.81239,0.78248,0.846,0.2382,0.14253,0.19744,0.18144,0.12143,0.12842,0.42944,0.39399,0.24775,0.18944,0.8785,0.22245,0.4215,0.79464,0.4928,0.26633,0.45919,0.3356,0.27175,0.11275,1.993,0.2962,0.297,0.5699,0.1726,0.5648,0.54866,0.8196,0.11484,0.5796,0.87699,0.1425,0.68485,0.3616,0.3483,0.45154,0.7135,0.23388,0.1734,0.2123,0.18148,0.32918,0.1825,0.629,0.214,0.6154,0.3331,0.2635,0.7447,0.1512,0.63927,0.24211,0.11593,0.27768,0.978,0.13148,0.21297,,0.233,0.16369,0.19596,0.1127,0.5233,0.2238,0.19651,0.958,0.61,0.8875,0.86153,0.15794,0.18888,0.834,0.9864,0.33355,0.14833,0.1755,0.4215,0.17297,0.1574,0.2211,0.34168,0.158,0.3143,0.5715,0.3125,0.52664,0.29366,0.259,0.47275,0.6274,0.86297,0.37184,0.291,0.12711,0.7298,0.5141,0.17777,0.1681,0.6569,0.35697,0.12727,0.36993,0.45779,0.33771,0.35375,0.26618,0.6491,0.96487,0.44522,0.98181,0.2643,0.21229,0.974,0.2522,0.82673,0.2732,0.17423,0.32954,0.887,0.33977,0.15859,0.9847,0.36512,0.3385
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,0.933,0.529,1.43895,0.78973,1.14179,2.71733,1.44676,1.1519,1.2958,3.18191,1.26448,1.231,1.4433,0.8221,1.72448,0.58567,2.17296,3.2258,1.4828,0.91762,1.33513,0.91596,1.14551,1.7648,0.8948,1.29181,1.5487,1.42753,1.14168,1.4385,0.82679,0.45296,1.46317,0.7787,2.2868,0.582,1.876,1.4595,0.466,0.4128,2.64175,1.4366,0.84961,0.7588,1.24226,1.59437,1.13721,3.2591,2.49852,2.711,1.36641,2.94976,1.43398,0.9883,0.19653,2.36228,1.1921,1.44553,0.8447,1.1474,0.99218,1.96355,1.26888,1.73629,0.81236,0.27616,1.12464,0.88718,0.54116,0.65185,0.44712,0.2985,0.686,1.964,1.23977,4.22511,1.3985,1.2872,1.2596,0.44675,0.67197,0.51641,0.5494,0.98324,2.4439,0.77686,0.85461,0.52976,1.1178,0.62532,0.2882,0.48311,1.14699,0.6335,0.73222,0.3514,0.22676,0.92665,2.113,1.71,0.24989,2.2368,0.45135,0.36651,0.65165,0.845,0.52348,1.65631,0.21194,1.693,0.68913,0.6348,1.51526,1.45753,0.5689,1.5372,0.4849,1.11314,1.7311,2.67376,0.64854,0.41922,0.533,1.2284,0.99811,1.24622,0.2138,1.7385,1.19466,1.36319,1.46519,1.73544,0.97763,1.1312,0.9167,0.85275,0.9533,1.58413,0.7176,1.966,0.76692,3.56165,0.98715,0.78163,0.66166,2.3729,1.23469,0.86918,0.31457,1.58778,0.325,1.7566,1.25465,0.7933,1.6561,1.31148,0.6222,0.64663,0.89271,1.13583,0.7255,0.6883,0.91828,4.7382,1.6453,0.16564,0.59451,0.37571,0.29261,0.95181,6.27762,3.26191,0.7244,0.57979,0.26145,0.24848,0.76868,0.28536,1.28461,1.13183,0.4438,0.73449,0.56972,2.62363,0.5187,0.3832,0.2814,0.41441,1.1371,0.82931,0.89957,3.34546,0.29418,1.8397,1.57518,0.35281,0.6469,1.28189,1.748,0.43428,0.55633,0.45127,0.83778,0.44895,1.878,0.993,0.6549,0.37778,0.37134,0.69161,0.9474,0.5212,0.3925,1.17751,1.656,0.56554,0.54274,0.82392,0.46493,0.58277,0.4114,0.2882,0.68435,0.4147,0.94265,1.67421,0.48184,0.26235,0.53622,1.59517,0.9838,0.58695,0.36294,0.85639,0.46153,0.35456,0.8262,2.92749,0.54889,2.474,1.579,0.61636,0.68824,0.64261,1.45449,0.46948,1.68482,0.51382,1.9233,3.431,0.45951,0.88649,1.6384
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus,,1.92296,,0.45,,,,,2.86116,,,8.4173,32.4965,,3.66569,,,0.1248,,,,2.41199,,1.5476,1.45249,25.8614,,,,,,3.34369,9.34494,2.3624,6.8629,,,4.67262,3.58889,,,1.23171,0.219,,,9.99618,26.636,,,,35.68645,,9.85239,6.5181,0.39677,2.37159,,35.851,,0.2257,,,,,0.245,,0.471,,,19.92196,12.15413,,23.35794,,0.252,,,,,,,,,,23.54314,,5.3632,2.1979,0.434,,,,,,,8.73782,1.2224,4.54897,,,17.26884,,4.183,0.339,0.212,,,,0.3981,22.98677,,,,2.37331,,,12.4476,1.15628,,,,,4.3154,,,,,,,,,,,2.2463,16.36963,,3.12134,,,,,,,,21.17336,0.157,,,,,13.33911,,,,1.9293,,,,3.1485,,,,0.5621,,,,,3.38879,,0.14363,,,0.23,,5.63335,,,,,,,,,,0.8339,3.8543,,,0.123,,,,,0.4,0.749,2.7977,,,,,,,0.47,0.83,,16.75624,0.287,,,,,,,1.573,1.61264,1.694,0.4768,,0.9136,,,,,,0.91964,11.142,11.99782,,,,19.13274,0.278,,,,,,,,0.664,,,6.2629,8.1274,,7.65786,,0.572,,0.7559,2.6552,,
