disease,n,n,n,cancer,n,cancer,n,n,n,n,n,cancer,n,n,cancer,cancer,n,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,cancer,n,n,n,n,n,n,n,n,cancer,cancer,n,cancer,n,n,n,cancer,cancer,cancer,cancer,n,n,n,n,n,n,cancer,cancer,cancer,n,n,n,cancer,n,cancer,n,n,n,cancer,cancer,cancer,n,n,cancer,n,cancer,cancer,n,cancer,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,n,n,cancer,cancer,n,cancer,n,n,n,n,cancer,n,n,n,cancer,cancer,cancer,cancer,cancer,cancer,n,cancer,n,n,n,n,n,n,n,cancer,cancer
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,,6.17595,1.4198,,,0.366,0.5864,7.17253,0.56545,0.59447,1.74256,,0.18,2.9511,,0.2195,,,,0.121,,0.36544,0.35759,0.619,5.1831,0.3293,4.6862,0.796,0.23532,,1.67578,0.39274,0.111,1.81446,0.61188,0.6582,1.68155,4.13419,,0.13736,0.12952,0.4927,0.3336,,0.33115,1.13498,0.1696,,0.24713,6.6462,0.127,,0.48285,0.564,1.25937,0.1247,,1.37595,,0.495,0.8712,6.58935,3.91639,,0.4512,5.15927,0.6747,,,0.1163,1.41187,,0.29259,,0.28239,,17.56441,0.18232,0.3575,,0.357,0.547,0.18519,0.1734,0.339,0.35249,0.549,4.95346,2.5186,0.11844,0.775,0.196,1.3973,1.29386,2.774,0.48655,0.5956,2.6955,,,,0.3932,0.14416,0.8326,0.1526,0.15456,1.23771,,0.17153,0.168,0.1667,0.1149,,,0.8955,7.24597,0.2934,2.54225,3.44194,,0.11886
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,0.2225,4.22188,3.59226,0.2786,1.65468,0.36448,2.27366,1.4114,0.45329,0.61926,0.8258,0.36483,0.2311,0.99142,0.9779,0.34213,,4.392,,0.96,0.5457,0.2817,0.986,0.2153,1.52264,0.3672,3.89296,0.49431,0.19677,0.278,0.174,0.66761,1.9942,0.855,0.223,2.45768,1.78668,1.96185,1.14595,16.74966,1.2665,4.4953,1.9153,0.3515,3.494,1.68168,6.683,,0.2112,2.84731,0.693,,2.17673,16.4538,0.4235,0.12392,0.69921,3.525,0.37681,0.65171,0.53747,4.16345,2.4257,,,1.9236,0.59723,11.29615,1.75299,0.216,0.53621,1.28828,0.6974,1.27372,0.1969,0.94646,3.8452,1.389,0.17934,0.3627,0.8386,0.598,0.92593,0.7532,1.29231,0.85232,0.84573,0.47364,0.348,1.89715,0.8786,0.249,0.6477,3.44523,0.71135,1.91938,1.59564,0.25787,1.75375,,0.72151,0.82765,0.63883,0.73624,4.5137,2.161,,0.73487,0.619,0.1255,0.16215,0.462,,2.4289,,1.1895,0.17952,0.927,6.2173,,0.4614
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified,,,,,,,,,0.46825,,,,0.617,,,,,,0.264,,,,,0.9293,0.61687,,,,,,,0.828,,,,,,,,,,,,,3.3546,,,0.6566,,,0.2252,2.5186,,,,,,,1.81741,,,,,,0.6667,,,,,,,0.6834,,,,,,,,,,0.44381,,,,,,,,,2.18615,,,,,,,0.2844,1.48651,0.2294,,,,,,,,,,0.19616,0.24913,,,,0.2371,,,,,0.17588,2.44161
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified,0.5173,,0.14961,0.764,0.1612,0.787,0.4399,0.497,0.35578,0.3166,0.3134,0.3783,0.53797,0.29286,0.61583,0.2718,0.1624,0.27,2.489,0.4214,0.445,0.7228,0.15397,0.1417,0.7525,0.1128,0.962,0.741,0.11,0.7284,0.56739,2.5114,,0.12934,0.46,0.356,0.1153,0.2564,0.182,0.494,0.12876,0.3873,0.1582,0.5281,0.46497,0.8216,0.14,1.64827,0.3114,0.3248,0.243,0.27234,0.24884,0.4736,0.18,,,0.8574,0.2497,0.48672,0.1969,0.2549,0.9461,0.4681,,0.6117,0.4471,0.57113,0.392,,0.1278,0.74,0.14338,0.7528,0.4934,0.193,0.24774,0.1651,0.516,0.11719,0.19139,0.5987,0.22948,0.615,0.11322,0.7558,,0.3643,0.97463,0.1546,0.38365,0.15317,0.3689,0.6175,0.3974,0.23442,0.1324,0.28346,0.2848,0.133,0.5639,,0.5583,1.3175,0.17677,0.1272,0.568,0.11,5.43953,2.37714,0.2831,0.21971,0.12916,,0.1278,0.9267,0.4453,0.66,,0.3821,0.527
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii,0.5926,,,0.65756,,0.6235,,,0.2278,0.7741,,,0.1635,0.6918,,0.2374,0.6741,0.179,0.9186,0.342,1.1727,0.2838,,0.75214,0.982,,,0.12,0.2941,0.52,,,0.8396,,0.3185,1.22544,0.526,0.52711,0.18,,0.24374,0.14731,0.122,,,0.2599,0.16595,,,,,,,,,0.641,,0.1435,,0.8353,0.61341,0.6573,0.7558,0.23,,0.199,0.17121,0.1324,2.27936,0.4469,0.7873,0.3184,0.1181,,0.1316,0.1418,1.12,0.71,0.16325,,1.29552,0.2727,0.32548,0.23874,,0.37518,,0.46116,,0.42638,0.872,0.12465,1.32329,0.13735,0.15697,0.527,,0.314,0.1893,0.3589,0.69,0.236,0.14131,,,,0.2773,,,,0.51191,,,0.3774,0.1323,0.8571,0.13779,,0.14517,,0.3594
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified,,,0.9329,,0.1545,,,,,,0.4688,0.236,0.38,0.4113,,0.32657,,,,,,,0.9787,,0.75628,0.9394,0.14,,0.11914,0.657,,,,0.1242,0.4765,,0.1677,,0.1557,0.859,,0.45665,,0.5489,0.1314,0.12666,0.168,0.688,,0.298,0.1438,,0.6565,,0.24958,,,0.21483,,,,,,,,,,0.372,,0.5796,0.129,0.1369,0.4266,,,0.1337,,0.1764,,0.2166,,0.141,,0.41677,,,,0.1484,,1.3398,0.255,,,,0.15,0.3825,,,,,0.9854,0.5413,0.2272,0.1341,,0.2564,,0.1746,,,,,,0.9941,,,,,,,0.13632
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_unclassified,0.34,,,,,0.898,,,,,,,0.323,,,,,,,,,,,,0.191,0.142,,0.324,,0.1121,,,,0.86,0.284,,,,,,,,,,,,0.1442,,,0.49,0.127,,,,,,,,,,,0.299,,0.761,,,,,,,,,0.248,,2.319,,0.124,,,,,,0.59,,,0.672,,,,,0.57,,,,,,,,,,0.1813,,,,,,,,,,,,,,,,0.64,,,,0.161
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,,,0.562,,,,0.131,0.3969,,0.16,,0.48,,,,,0.17,,,0.36,0.11452,0.1735,0.1613,0.935,,,0.1155,0.18758,,0.17674,0.11631,0.18859,,,,,,,0.78,,,,0.82,,,,,0.22187,0.1635,0.571,,,0.311,,,,,,,0.67,,,,0.1384,,0.7169,,0.164,0.298,,0.1712,,,,0.3838,,,,,,0.139,,0.119,,,,0.2184,,0.7184,,,0.2116,0.522,,0.3232,0.3111,,0.256,,0.869,,,,0.74,0.172,,0.14,,,0.4232,,0.3329,0.1361,,,0.2783,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified,0.741,,0.2435,,,,0.4874,0.1699,,0.458,0.94,0.6741,,,0.1381,,,,,0.73,0.149,,0.4466,,,0.36,,0.2217,0.155,0.91329,,,,,,,,,0.893,,,,,0.18123,,,,,0.517,0.96,0.267,,,,,1.66756,,,,,,,,0.1445,,0.2689,0.1852,0.9926,0.38,,,,,,,,,,0.2757,0.145,0.3675,,0.227,,,,,,0.213,,,,0.256,0.212,,0.77262,,0.912,,0.4599,,,,0.2422,0.5959,,,0.6875,1.74655,0.84149,,0.611,0.254,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,5.36574,0.61741,9.131,1.6519,5.8841,0.759,6.63985,6.9531,1.9165,4.95868,5.7822,8.3148,7.54937,3.45238,0.43896,0.79426,6.85461,4.8545,0.24,11.9697,4.66799,0.51482,1.85698,3.55396,7.61384,4.33619,0.87171,1.43164,0.7818,0.2763,7.53453,13.83119,0.4554,0.88838,0.23521,7.88429,7.4425,3.59882,0.79932,8.463,6.3472,1.652,1.97574,0.79175,21.7576,2.37875,2.23486,0.2147,7.51696,5.34821,0.79638,0.541,5.2652,7.98267,1.4487,0.5566,1.37375,3.8352,2.4929,0.4865,3.81165,7.21631,14.2956,5.17678,0.3693,4.43548,2.9121,6.15219,5.78177,0.65272,3.72573,5.68177,4.15192,4.6555,0.15453,0.56673,2.59156,2.7256,2.96671,2.98973,3.85645,3.44744,6.7216,0.99232,2.25849,17.33391,0.89699,12.19844,0.11284,9.83385,2.4696,4.73375,7.59893,8.426,4.81155,1.2778,0.4245,9.1379,1.8714,0.95487,5.54383,0.4615,0.32571,4.84341,28.34784,4.2566,0.863,0.7187,3.4981,0.3318,12.1461,7.83752,2.17235,1.7459,2.2464,1.9446,1.28497,8.88579,2.87411,2.56842,8.29555
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16,0.67,,,,0.236,0.1138,0.87,0.6359,,,,0.1146,0.6753,,,0.19,,0.5377,,,0.4283,0.17,0.16,0.118,,0.359,,,,0.5,,0.12437,,,,,,0.87,0.485,,,,0.1145,,0.399,0.1599,,0.187,0.225,,,,0.553,,,,,,,0.172,,,,0.36112,,0.2926,,,,,,,,,0.682,,0.8635,,,0.7877,0.2445,,0.145,,0.21,0.248,,,,,,,0.51,0.66,0.99,0.14373,,0.124,,0.69,0.83,,,0.7346,0.24,,,0.452,0.3768,,,0.15,0.4941,,,,0.21,,,,0.339
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus,0.147,,,,,,0.333,0.115,,0.29,,,,,,,,0.85,,0.282,,,,0.284,,,,,,,,,,,0.17,,,,,,0.448,,,,,,,,,0.323,,,0.389,,,,,,,,,0.239,,,,,,,0.393,,0.1214,,,,,,,,,,0.71,,0.89,,,,,0.58,,,,,0.76,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,5.8655,,7.79721,0.22689,5.6295,11.6396,0.172,0.481,1.68728,0.765,0.2691,5.99535,17.2386,0.46712,15.81162,7.65854,12.8245,0.68973,,0.2843,0.1986,1.92184,0.1665,3.1478,6.4935,0.674,0.413,11.133,31.4277,0.728,1.88283,1.198,23.8235,9.145,0.1196,2.16457,0.335,11.85859,6.66341,0.136,0.247,0.444,0.131,0.55,,3.39822,,,3.4215,11.749,0.4957,0.27649,16.42332,11.26959,7.8616,23.7542,0.642,1.3161,0.278,4.36294,1.18566,0.28262,18.69475,,0.89387,11.76575,6.3457,0.495,0.8255,18.94374,0.825,0.64742,13.42859,11.684,0.58944,0.71681,0.457,0.1534,7.1857,,0.1246,2.817,4.82981,25.73734,,0.3678,0.33,1.8548,0.36287,1.6434,1.4875,6.67,11.9888,0.374,27.8873,2.716,2.1854,0.2482,17.3241,0.13,9.65422,1.9123,2.82455,7.59946,0.64533,0.14,7.8487,4.62232,0.2292,0.57248,3.7177,0.37994,18.67852,5.3429,,23.4599,1.745,1.6434,1.92726,0.121,6.8459
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,0.199,,2.39877,,0.8944,,,,0.372,0.4388,0.46623,1.318,0.9584,,,0.5342,,0.5696,,4.198,,0.25696,,0.1414,0.4284,,0.4744,3.13724,0.1243,,,0.2727,,,0.144,0.5656,0.68353,,,,,0.2636,,0.2278,,,0.1378,,,,0.1941,,,,0.37952,0.64,,0.413,,,0.8717,0.19481,,,,,0.14772,,0.1357,,0.36718,,0.2592,0.45314,,1.4256,1.862,0.12,1.25877,,0.96,0.1418,0.3597,,,0.14383,,0.2948,,0.5546,0.17235,0.149,0.6,1.6494,,0.2342,,0.133,,,,,,0.4841,0.2545,0.3518,,,,,1.21954,,,0.45558,,,0.34494,,0.5955,,0.877
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis,0.81857,,,,,,,,,0.57165,,,,,,,,,,,,,,,,,,,,,,,0.27233,,,0.213,0.1381,,,,,0.2486,,,,,,,,,,,,,,,,,,,0.5118,0.596,,,,,0.36676,,,,,,,,,,,,0.36552,,,,,,,,,0.6234,,,0.4917,,,,,,,,,,,0.13385,,,,,,,,,,,,1.7689,,,0.13481,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens,,,,,0.3853,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,0.271,,,,0.24,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,1.4755,1.5332,,8.48441,0.6191,0.1458,,,0.982,,2.9924,,5.892,,0.321,0.88742,,1.9617,,0.338,0.845,0.27,,0.258,2.1997,0.3612,1.6483,0.121,,0.28,,,1.3599,,0.9993,0.2161,2.47363,,0.5579,0.12,,4.44864,0.23652,,1.731,3.27928,,,0.99497,0.42,0.866,,1.8842,0.35773,1.4918,,,0.335,,0.1961,0.18769,3.6473,1.94992,,0.2198,2.64679,1.74841,0.1183,,0.13827,2.4953,3.16463,0.29916,5.935,,0.776,,0.437,1.79735,1.62223,0.57488,2.21958,0.9852,0.64372,0.1373,,,,,0.925,1.7685,0.4449,4.6363,,2.64164,,,,5.43392,,0.371,0.5315,,,0.14838,0.441,,1.63954,,0.38717,0.492,0.657,0.54844,,0.267,0.728,1.45754,1.88643,3.22113,0.796,3.6175
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA,2.34415,,1.82341,,1.7613,,0.455,,,0.3774,4.44635,0.44197,2.5254,,,0.2231,1.8825,,,4.86888,0.94947,0.3113,1.41257,5.5884,1.23124,1.13593,6.2451,3.56977,4.15295,,,,,,11.5425,0.94167,0.43254,0.85714,0.28958,0.3871,1.8921,2.97664,5.8353,,2.31649,1.8745,,,,4.1212,0.327,,7.26853,3.98136,,,,2.1645,11.27838,0.91899,1.37181,2.2217,2.2133,3.3993,4.99716,,0.3587,6.12165,0.7382,,1.82293,1.23599,1.94469,1.48357,,9.662,0.5164,1.44572,1.89535,3.5589,1.1966,3.87936,2.23362,1.62299,,3.8171,0.7339,1.33783,,0.8582,3.21126,1.15835,3.74197,1.5837,2.16462,0.32543,,1.3728,9.19243,0.41522,4.49319,,,,,0.98749,,,,,1.679,,,,,4.893,1.53986,,,1.4923,1.6515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,18.87523,0.9723,4.45216,4.7519,15.8179,1.59727,13.16392,2.26596,5.15923,4.7391,1.91185,7.89479,3.65738,2.1998,9.7821,1.48,0.55969,9.81339,4.21555,1.6486,6.93352,5.7221,12.67597,3.6661,5.85595,3.7848,2.71265,1.512,3.9431,1.1224,9.26727,15.8241,4.23661,0.3738,0.55677,4.6185,5.68724,7.87146,14.63784,0.97939,3.11833,0.65977,5.6326,2.497,4.7489,12.69855,3.6992,8.43762,18.63383,0.36973,1.57612,2.32533,12.55328,0.98868,6.87815,5.6952,0.4192,1.37562,2.6747,1.31869,2.34511,4.16582,1.66519,9.7749,5.21258,4.5762,18.32327,4.324,4.38133,2.41211,3.426,1.59685,14.79773,4.98519,4.38352,1.12577,0.858,2.56662,6.8617,6.31854,0.91489,6.188,2.19738,1.71236,1.22798,1.19622,13.35598,8.39171,0.33275,1.95626,17.49343,4.4653,2.9133,3.16659,2.1172,37.53799,1.79421,1.6474,0.21975,12.58972,4.7166,7.4561,1.4481,4.386,7.68692,6.7985,0.75428,29.735,7.6238,1.3875,5.49287,4.89743,0.6628,12.97317,0.23834,0.43635,11.87538,3.28484,3.5513,5.631,1.2464
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile,0.2,,,,,0.392,,,,0.53,,0.241,0.278,,,0.2961,,,,,,,,0.359,0.339,,,,0.58,,,0.28,,,,,0.154,,,,,,,,,0.193,,,0.476,0.16,,,,,,0.1861,,,,,,,,,0.28,,,,,,,0.35,0.37,,,0.193,,,,,,,,,,,,0.547,,,,,0.62,0.95,,0.273,,,0.272,,,,,0.178,,,,,,,0.428,,,,,,0.211,,,,0.552
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai,,,,,,,,,,,,,,,,,,,,4.32581,,5.25851,,,,0.14252,0.14663,,0.85,,,,,,13.54593,,0.9248,,0.9592,,,,,0.8646,,0.59382,,,,,,0.417,,,,,,,,,2.51325,,,,,,,0.61,2.2173,,,1.3971,,,,,,,,,,,,,0.19444,,,,,,3.5581,0.71891,,8.956,,,,,,,,,,,,,,1.793,,,1.24225,0.86511,,,,,,0.622,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_29_1,,,,,,,,,,0.7399,,,0.32333,,,,,,,,,,,,,,,,,,,,,,,,,,1.3762,,,,1.797,,,,,,,,,3.74844,,,,0.78292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8745,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_D6,,,,,,,,,,0.214,,,0.68837,,,,,,,,,,,,,,0.13871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_innocuum,,,0.441,,,0.183,0.599,,,,,,,,,,0.2132,0.68,,,0.194,,,,,,,,0.39,,,,,0.522,,,,,0.315,0.39,,,,0.66551,,,,,,0.254,0.178,,,,,,,,,0.145,0.828,,,0.15,0.452,,,,,,0.21,,,,,0.2,0.364,0.496,,,,,,,0.618,,,,,,,,,0.3886,,,,,0.193,0.56,0.16,,,,,,0.156,,,0.244,,,,,,,0.116,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A,,,0.678,,,0.1232,0.165,0.995,,,,0.727,0.2946,,,,0.85,0.224,,0.39,0.1558,,0.325,0.8298,,,,,,0.1363,,,,,0.639,,,0.188,0.149,,,,0.5596,0.25382,0.167,0.847,,0.467,0.43,,0.188,0.4754,,0.1285,,0.25,,0.1221,,0.1193,0.2462,,0.611,0.84,,,,0.3355,,0.1554,0.735,,0.171,,,0.22,,,,0.1568,,,0.111,0.596,,0.397,0.23,,1.51439,,0.181,,0.1941,0.177,0.177,,,0.181,0.1926,0.5313,,,0.963,,,,0.1451,0.267,0.1524,0.2658,,0.137,,,,,0.964,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45,0.25,,0.112,,,0.2936,0.134,0.791,,,0.235,0.381,0.2392,,,0.32,,,0.155,,,,,0.119,,,,,0.28,0.1425,,0.217,,,0.429,,,0.37,0.242,0.458,0.78,,0.1448,0.69478,0.199,0.351,,0.82,0.134,0.1995,0.18,,0.631,,,,,0.1132,,,0.598,,,,1.3861,,,0.18,,,0.6819,,,,,0.233,,,,,,,0.271,0.4351,,0.57,,,0.33563,,0.856,,0.191,0.774,,,,0.47,0.8,0.25,0.287,,,0.67,,,0.9683,,,,,,0.3647,,0.1982,,0.126,,,0.158,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme,,,,,,,,,,3.7747,,,,1.32465,,,,1.29863,,1.4696,,2.1,,,0.53596,1.5752,,2.4519,,,,0.63,,,,,,,0.55188,0.36232,,1.15187,,0.18424,,,,,,,0.1764,,,0.189,,,,,4.89452,,3.28684,,,,0.3821,,2.78,0.4515,2.29472,,,5.8222,0.63,,0.7646,,,1.98215,,,1.317,,,,3.271,0.17,3.17878,,,16.28867,4.24752,0.8612,,0.6844,,,3.9299,,,,5.5259,0.96917,,0.6782,,0.4888,,5.54697,,0.16127,0.86965,0.8332,,1.2149,,1.1455,,0.32566,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_cylindroides,,0.435,,,,,,0.64562,,0.286,,,0.14,0.469,,6.34178,,,,,,,,,0.85438,0.1883,0.1637,,,,,0.129,0.17812,,,1.13228,,,0.4135,,,,,,,0.12829,0.12394,,,,,,,,0.19845,0.2112,,,,0.9497,,,,,2.58253,2.47958,,0.15112,,,0.27515,0.797,,,0.35,,0.6318,,1.49468,3.21141,0.56,0.14198,,,,,,1.3396,,,0.1197,0.464,,0.41,,0.2229,,0.13639,,3.4681,,0.1835,,,,0.183,,,0.392,,0.5186,,,0.12542,,,1.12531,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,0.3714,0.928,0.124,,,,0.7191,0.292,,0.112,0.1176,0.382,0.516,,,,,,,,0.156,,0.7891,0.46,0.265,0.144,,0.7,0.596,,,0.2194,,,,,,,,0.289,,,0.522,,0.3434,0.2419,0.8998,,0.1944,,0.435,0.18968,0.4781,,,,,,0.33736,,,0.2399,,0.26292,,0.2384,0.682,,,,,0.119,0.85,0.1836,,0.2684,0.213,0.28,0.45,0.3266,0.2249,0.87,0.161,,,0.1539,0.556,0.685,,0.67,,0.77,,0.2976,,0.1828,0.284,0.58,0.2186,0.725,0.198,,,0.8276,0.5589,,,,0.556,,,0.867,,,,,0.1859,,0.234,0.31,0.1938
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,0.153,,0.37,,0.1276,0.2477,0.325,,,0.166,0.279,0.12198,0.268,,,0.4334,0.296,0.17,,0.268,0.894,,0.723,0.499,0.154,0.21949,0.239,0.2346,,,,,,,0.8593,,0.437,,0.8734,0.5,0.298,0.2712,0.36,,,0.35836,0.33,0.4512,,0.457,0.1367,0.285,0.428,0.1863,,0.22,,,,,,,0.1182,0.4628,,0.669,,,0.2454,,0.848,0.125,0.293,,3.2766,0.535,0.414,0.292,0.437,0.13,0.17,,,,,0.488,,0.947,,0.792,0.33,,0.36334,0.351,,,,,0.1399,0.514,0.386,,,,,,,0.334,,,0.536,0.92,,,,0.32,0.44,,0.1795,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,,,,0.1479,,0.339,,,,,,,,0.38887,,0.142,,,0.1889,,,,,0.3899,,,,,,,,,,,,0.8843,0.335,0.79,0.57,,0.322,0.25299,,,,0.663,,,,,,,,,,0.163,,,,,,0.122,,,,,,,0.13,0.21125,,,,,,,0.17484,,,,0.698,,0.212,0.13478,,,,0.6686,,0.3178,,,,0.954,,,,,,,,,,,,,,,,,0.1182,,,,,,0.14,,,,0.36
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified,,,,0.334,,0.4638,,,,,,,,,,0.183,,,0.866,,,,,0.12971,,,,,,,,,,,,0.5153,0.234,0.3738,0.139,,0.643,0.915,,,0.237,0.1392,,,,,,,,0.141,,,,,,,0.164,0.163,,,,,0.75,0.68,0.544,0.289,,,,,,0.958,0.12944,,0.6,,0.745,,0.587,0.1325,,,,0.2459,,0.6174,,,,0.1237,,,,,,0.241,0.129,,0.1523,,,,,,,,0.283,,,,,,0.32,,,,0.1589
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified,,,,,,,,,,,,,,,,,,,1.19585,,,,,0.491,,,,,,0.176,,,,,,,,,,,,,,,,,,,,,0.1441,0.2561,,,,,,,,,,,,,,,,,,,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans,,,0.3321,,,,,,,,,,,,,,,,,,,1.29589,,0.4541,,,0.88256,,,,,1.27154,,1.79122,,,,,,0.137,,,,,,,,,,,0.197,,,,,,,,,0.6,,,,,,,,,,,,0.3528,0.33243,,0.25556,,0.821,0.69423,,,,,,,,,,,,,,,,1.9637,,2.9715,0.132,,0.13399,,,,0.19167,0.54,0.6,,,,9.7919,,0.6832,0.1297,,0.2373,0.12558,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini,,,0.5513,,,,0.14426,,,,,,,,,,,,0.44645,,0.131,0.2231,,0.7565,,,0.871,,,,,0.9849,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6194,,,,,,0.1654,0.113,,,,,,,,,,,,,,,,0.66349,,0.14391,,,,0.38315,,,,,,,,0.61,,,,0.56,0.126,,0.363,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_D21,,,,,,,1.6393,,,,,,,,,,,,16.57234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57597,,,,,,,,,,,,,,,,,,,,,,,,,0.81969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
