disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,n,ibd,n,n,ibd,ibd,n,n,n,ibd,n,n,ibd,ibd,ibd,ibd,ibd,n,n,ibd,n,n,n,n
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_micraerophilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_succinatiphilus,,,,,,0.44,,,,,0.5872,,,,0.566,0.378,0.713,,,,,,,,,,0.5888,,,,,,0.241,,,,4.5961,0.2889,,4.9114,,,,,,,,0.188,,0.414,,,,,1.46618,0.114,,,,0.76,,,,,,,,,,,,,0.789,4.55648,0.469,,,,,,0.2624,,,0.419,7.1258,,,,,,,,,,,,1.62583,,,,0.12,0.366,,,,,0.71,,,0.264
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_unclassified,,0.123,,0.3647,,1.2369,,0.166,0.2277,,,,,,,0.15486,0.153,,,,,,,,0.2679,0.182,,,,,,,0.5593,,,0.2322,0.9331,0.66811,,,0.1544,0.2344,,,,0.1546,,0.2828,0.2839,,,,,,,,,,,,,,,,0.1614,0.5521,0.1727,6.4493,0.61791,,,,,,,,,,,0.4942,,,,0.377,0.217,0.1722,0.2288,0.2255,,,,,,,,,,,0.56,0.6169,,,0.11569,,0.239,,0.2315,0.97174,,0.872
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_multacida,,,,1.43431,,1.7434,,,,,,,,,0.3722,0.54494,1.99765,,,,,,,,,,0.43,,,,,,,,,,0.6243,0.7437,,,,,,,,,,0.26835,,,,,,,,,,,,,,,,,,,,,,,,0.13455,0.15573,0.42416,,0.25375,,,,,,,,,,,,,,,,,0.56369,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_unclassified,0.134,0.2745,0.6278,0.22856,0.15974,0.49394,0.1782,0.4143,0.4736,,0.4493,0.127,0.3178,0.623,1.1667,0.23445,0.24127,0.872,0.2322,0.25146,0.28253,0.9572,0.27283,0.11857,0.9173,0.1772,0.16818,0.26125,0.793,0.9122,0.373,0.1927,0.21571,0.1745,0.7863,0.2558,0.27561,1.4831,0.698,0.7671,0.8832,0.3682,0.7438,0.7725,0.13913,0.3985,0.1736,0.85991,0.1174,0.1944,0.8528,0.2318,0.2624,0.5542,0.17487,0.5859,0.1734,0.2142,0.2993,0.1514,0.167,0.7198,,0.4157,0.37,0.2215,0.641,0.1155,,0.2444,0.6498,0.2234,0.69446,0.86257,0.1897,0.8981,0.83,0.6615,0.1377,0.996,0.7524,0.4939,0.1355,0.32525,0.2417,0.25986,0.435,,0.9257,0.9227,0.2438,0.1412,1.3257,0.14839,0.15786,0.11278,0.23261,0.8886,0.6676,0.4847,0.13636,0.187,0.1136,0.5458,0.931,0.646,0.5456,0.1596,0.519,0.1484
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica,,0.996,,,0.1,0.524,0.1566,0.214,0.26,,,,,,,,,0.25,0.241,0.4139,,0.175,0.59,,0.3943,,0.74,0.191,0.424,,,0.255,,,,,,0.791,,,,,,,,0.3711,,,0.169,0.1281,,,0.259,,0.2619,,0.12224,0.17617,,,0.2839,0.63,0.4621,,,,0.56,0.2669,,,0.3523,0.1798,,0.193,,,0.117,,,,0.682,0.185,,,0.1554,,0.8274,0.622,0.28,,,,,0.237,0.116,,,,0.2142,,,0.642,,0.7638,,0.1888,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,,0.3929,0.16,,,0.128,0.55,,,,,,,,,,0.353,0.261,,0.76,,0.1337,0.518,,0.159,,,,,,,0.1276,,,,,,,,,,,,,,0.461,,,0.36,0.469,,,0.318,,0.728,0.22,0.5699,0.8486,0.15,,,0.2831,0.4238,,,,,,,,0.64,0.175,,0.526,,,0.236,0.31,,,,,,,,,0.35712,,,,,,,0.398,,,,,0.4121,,,0.58,,0.2977,,0.1459,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,,0.551,0.56,0.1731,,0.261,0.775,,0.365,,0.1121,,,,0.535,,0.3231,0.354,0.118,0.297,,0.542,0.365,,0.7731,0.257,0.1374,0.1572,0.186,0.192,,0.246,,,,0.2213,,0.6767,,0.242,,,,0.1673,0.8293,0.4826,,,,0.4885,,,0.4898,,0.1852,0.456,0.17922,0.8691,0.1176,0.18,0.4345,0.814,0.1543,0.1482,0.19,,0.985,0.63,,,0.1341,0.353,,0.5865,,,0.2174,0.1797,,0.912,0.18,0.32,0.2832,,0.2227,0.8146,1.1327,0.29394,,0.57,,,0.736,0.79,0.12451,,,,0.3756,,0.256,0.136,,0.18525,,0.11332,0.39,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified,,0.5466,0.825,0.313,0.1519,0.2113,0.2497,0.688,0.1824,0.1148,0.158,0.326,0.119,,0.5136,0.538,0.2187,0.4173,0.1117,0.22895,,0.7445,0.4389,0.375,0.15826,0.2175,0.284,0.4558,0.1167,0.493,0.689,0.13664,0.56,0.128,0.467,0.2336,0.254,0.4953,0.593,0.2729,0.55,,0.1168,0.2385,0.4596,0.8326,0.69,0.764,0.757,0.3336,,0.517,0.272,,0.4991,0.2937,0.99691,2.2799,0.2838,0.978,0.4165,0.8167,0.8198,0.937,0.931,0.48,0.159,0.262,,0.437,0.52,0.3423,0.111,0.4226,0.11,0.237,0.193,0.2585,0.44,0.6183,0.2354,0.2261,0.1549,,0.2825,0.24133,3.75249,0.2429,0.1736,0.1438,,0.66,0.1152,0.3184,0.3824,,,,0.39284,,0.1897,0.329,,0.1128,0.417,0.48659,0.1432,0.494,0.33,0.271
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_gonidiaformans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,,,,,,,,,3.9692,,,0.86,,,,
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271,0.2745,,,,,,,,,,,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,0.79537,,,0.983,,,,,,,,,,,,,,,,,,,,0.475,,,
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichiaceae_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.748,,,,,,,,,0.372,,,,,,,,,,,,,,,,,,,,0.283,0.2838,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47,,0.755,,0.1334,,0.239,0.16166,0.8334,0.6965,,,0.222,,,,,0.32,0.227,,0.283,0.1263,0.56453,0.52219,0.883,,,0.2379,0.371,0.582,0.9281,0.186,,0.1633,0.193,,0.2315,0.143,,0.292,,0.618,,,0.1968,,,0.4715,,0.333,0.1146,0.42845,,,0.26515,0.1736,0.19954,0.14168,0.113,0.19118,0.1222,0.742,0.631,,,0.855,0.173,0.264,0.4372,0.1947,0.652,0.5537,0.81,0.12575,0.297,0.1649,,,,0.2145,0.2751,0.9783,0.49,0.1187,0.33413,,0.658,0.3181,,0.66818,0.9733,,0.13295,,,0.17399,0.5155,0.44,0.475,,,,,,,0.6693,,0.3383,,0.1536,
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes,0.8428,,,0.8518,0.315,0.5737,,,,,,0.422,,0.178,0.23,0.388,0.354,,,,,,,,,0.4957,0.5166,0.236,,,,,0.658,,0.21568,,,0.2282,,0.271,0.788,,0.191,0.761,0.26888,,0.4413,0.3914,0.94,0.576,,,,,0.4292,0.2653,,,,0.6216,0.6181,0.1124,,0.2527,,0.3122,0.228,0.2254,,,0.1827,,,0.2465,0.2597,,,,,0.1516,,0.1731,,,,0.663,,,,,,,0.2319,0.96,,,0.45,0.3938,,,,,0.3636,,0.25482,,,,0.2856,0.736
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis,0.73,0.636,,0.586,0.174,0.1421,0.1155,0.7115,,,,0.972,,,,0.159,0.31,,0.348,0.2296,0.118,0.75944,0.13367,0.649,,,0.7175,0.1163,0.2158,0.84811,0.127,,0.2459,0.2538,0.545,0.1241,0.12,,0.1897,0.1269,0.313,0.82,0.33,0.1336,,,0.912,,0.2292,0.22436,0.17227,,,0.5922,0.2358,0.1243,,0.854,2.574,0.353,0.7997,0.3881,,0.2898,0.22449,,0.1577,0.6871,0.1646,0.2483,0.22312,0.6723,0.3571,0.6214,,,,,0.6547,0.858,0.12282,0.156,0.3139,0.2316,,0.5891,1.22369,,0.11171,0.17831,,0.13498,0.142,,0.483,0.6943,0.978,0.489,,,0.556,,0.83,,0.38413,,0.3927,,0.138,
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified,0.27911,0.4833,0.27883,0.18482,0.1891,0.1838,,0.21759,0.7226,,0.1118,0.31752,0.44841,0.2674,0.33291,0.3392,,0.2278,,0.3884,0.1876,,,,0.418,,,,,,,0.1665,0.1753,,0.12494,,,0.26461,,,,,,,0.53271,,,0.18676,,,,,0.4448,,0.15259,,0.143,,,,0.151,,0.6559,0.262,,0.24193,,1.15751,,,,,,0.287,,0.334,,0.246,,,0.9367,,0.1287,0.8646,0.24264,0.1415,,0.813,,,,0.6594,0.2755,0.7686,,,0.3787,0.885,,,0.75724,0.1361,0.22816,,,0.2173,,,,
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis,,,0.11,0.5883,,0.63155,,,,2.64597,,,,,0.9818,,0.5854,,0.4472,,,,,1.9986,,1.4381,0.2865,,,,1.31289,,,3.43528,0.6568,0.9442,1.61997,0.6365,2.79477,1.7814,0.27939,2.21935,3.22968,1.84784,0.45,,2.49182,0.8775,1.1272,0.68459,,2.47452,,,0.82759,,,2.15861,,1.74437,,1.451,0.7111,,,1.12968,0.57687,0.3316,1.25254,1.64379,0.389,,,0.1845,0.42642,,1.16293,0.65,1.2162,0.55976,0.372,0.22973,,,0.456,,,,,0.1497,4.79557,,0.459,0.633,,2.41315,,,1.11217,,0.131,,0.257,5.9237,,,1.31689,2.936,0.23369,0.9141
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified,0.273,0.63956,0.112,0.2534,0.88358,0.12673,0.8225,0.33637,1.558,0.24466,,0.3665,,0.5598,0.229,0.242,0.125,0.24173,0.3646,0.1681,0.1269,,0.7561,0.366,,0.13353,0.2617,0.258,0.16434,0.43983,0.999,0.24952,0.27446,0.16831,,0.254,0.49439,0.3,,0.292,0.13399,0.55122,0.3293,0.2675,0.13386,0.24499,0.58555,0.1212,0.19826,0.161,0.4991,0.23262,0.88283,0.32714,0.1381,0.4645,,0.4485,,0.3586,0.378,0.1174,,0.34459,0.11654,0.36342,0.14991,0.6196,0.1348,0.4129,0.5845,,0.111,0.21334,0.18927,0.1687,0.789,0.21577,1.7444,0.9466,0.27461,0.16862,0.62871,1.73975,,0.37647,0.72692,0.7359,0.3233,0.68692,,0.33533,,0.55258,0.526,0.7792,0.436,0.8841,0.5256,1.9732,0.9137,,1.51395,,0.72594,0.8741,0.6275,0.4913,0.289,0.4936
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,0.455,0.1486,0.1284,0.6456,0.17786,0.253,0.188,0.2425,0.14497,0.14319,,,,0.432,,,,0.1281,0.593,0.139,0.2456,,0.11,,,0.182,0.463,0.512,0.2389,0.1256,,0.392,0.2864,0.2779,,0.2715,0.1248,,,,0.2416,0.6943,0.1992,0.158,0.124,0.7686,0.3241,0.1357,0.219,,0.8547,0.8278,0.11963,0.3497,0.36,0.163,,0.57,,0.344,,0.1586,,0.934,0.5731,0.816,0.1726,0.129,,0.891,0.3694,,,0.342,0.362,,,,0.9625,0.972,0.8219,0.2349,0.791,0.2371,,0.2816,0.16326,0.1593,0.3548,0.9237,,0.2792,,0.965,0.9466,0.8278,0.7963,0.2184,0.378,0.2179,0.372,,0.26617,,0.19268,0.2841,0.7284,0.278,0.1277,0.665
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans,0.13797,,0.155,0.14,0.8731,0.39896,0.1755,0.4855,0.2518,,,0.49942,0.1255,0.2875,,0.1843,0.3546,0.31,0.1211,0.757,0.272,,0.3125,0.686,,0.2219,,0.532,0.1564,0.1662,0.2918,0.2114,,,,,,,,0.287,,0.1838,0.125,,0.4794,0.1236,0.425,0.3788,0.415,,0.86,,0.3536,,0.2361,0.377,,0.293,,0.254,,0.171,,0.11121,0.158,0.774,0.7725,0.446,,0.1837,0.2335,,,,,0.1224,,0.194,0.1114,,,0.965,0.3974,0.952,,0.12536,0.2822,0.3972,0.585,0.2741,,0.2456,0.486,0.4229,0.1548,0.6415,0.2596,0.1287,,0.2541,0.216,,0.779,,0.367,,0.739,0.1872,0.14353,0.181
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger,,,0.3935,,,,,,,,,,,,0.3575,,,0.24248,0.676,0.1648,,,,0.2962,,0.76289,0.138,0.22149,,,1.1127,0.1933,0.53147,,0.16341,,0.5148,0.2699,,,0.59556,,0.32974,,,,,,,,,,,,0.3111,,,,,,,,,,,,,,,,,,,,0.1399,0.17353,,,,0.23691,,,0.31658,0.48298,,,,,,,,,0.777,,,0.47678,,,,,0.2647,,,,,,,0.12675,,0.9854
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_jejuni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_pylori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrionaceae_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482,,,,,,,,,,,,,0.756,0.233,0.923,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841,,,,,,,,,,,,,0.538,0.1125,0.1244,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_aerogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2239,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae,,0.8499,,0.15661,,,,,,,,,,,,,,0.1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1267,,,,,,,,,,,,,,,,,,,,0.529,,,,,,0.1821,,0.862,,,,,,,,,0.128,,,,,,,0.4399,1.6235,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,0.47839,0.1179,0.624,0.27762,0.2872,0.6152,25.28468,,0.564,,,1.342,,,,,0.537,,,0.28,0.7658,0.27963,0.821,,,0.9699,0.1191,0.222,0.1355,0.5162,,0.5159,,,0.3233,0.417,0.15814,0.3962,0.98343,,1.14518,,0.27852,0.3572,0.612,0.2496,0.12678,,,0.2622,0.341,,0.22716,,0.5125,0.77515,0.6922,0.7289,0.12359,0.19588,,,0.413,4.82864,,0.22,0.12813,0.825,,0.226,0.73635,,0.65632,,0.392,,0.2252,4.76379,0.22471,,0.277,0.1395,,4.3298,0.14266,,17.48828,2.4128,0.13,0.17,0.17512,0.9365,0.188,0.5478,0.541,0.2955,0.1686,0.1636,0.13656,0.11998,,0.4357,2.2427,,0.2894,0.1263,0.568,0.2328,0.27,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified,,0.359,0.14,0.2466,0.63,0.1258,,,,,,,,,,,0.57,0.6116,,,,0.486,0.349,,,,,0.248,0.345,,,,,,,,0.9181,,,,,,,0.5673,0.25,0.348,,,,0.156,0.241,,,,,0.1597,,0.974,,,0.2147,,,,,,,0.1351,,0.151,,0.657,,,0.1165,0.136,0.847,,,0.117,,0.4848,0.545,,0.1274,,,,0.122,0.97,,0.62,0.211,0.45,0.23,0.1659,0.2916,0.3427,0.451,0.4622,,,,0.39,0.2835,0.5346,0.61,0.1414,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,,,,0.81249,,,,,,,,,,1.9351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436,,0.1729,,,,,,,,,,,,,,,,,,0.223,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_unclassified,,,,,,,,,,,,,,,,,,0.3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892,,,,,,,,,,,,,0.635,,,,,,,,,,,0.27,0.1661,0.154,,,,,,0.823,,,,,,,0.424,,,0.481,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Providencia|s__Providencia_alcalifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_unclassified,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,0.566,,,,,,,,,,,,0.39,,,,,,0.544,,,,,,,,,,,0.4146,0.386,,,,,,,,,,,,,0.265,0.125,,,,,,,,,,,,,,,0.651,,,,,,,,,,,,,,,,,,,0.1377,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,,0.11556,0.595,0.2244,0.63,0.199,0.275,,,,0.1355,,,,0.6432,0.23185,,0.3997,,0.32192,,0.5221,0.28474,,0.431,0.596,0.1414,0.26254,,,,,,0.567,0.1233,,0.5412,0.1845,0.1962,0.31837,,,,0.85,0.237,0.7339,,,0.1754,,0.939,,,,0.8959,,3.7518,3.63698,,0.1472,0.777,0.1463,0.8651,0.115,0.397,0.1289,0.849,,,0.195,0.57976,0.5648,0.81,0.729,,0.5895,0.3659,,,0.7215,0.3619,0.1227,0.91,,0.522,0.12574,0.88436,0.23321,0.1155,0.547,,,0.4332,0.22477,0.84,,,,0.6425,0.1363,0.123,0.2238,,0.952,,1.81139,0.173,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_pittmaniae,,,,,,,,,,,,,,,,,,,,,,,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,,,,,,,,,,,,,,,,,,,,,,,,0.333,,,,
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_unclassified,,,,,,,,,,0.77,,0.15193,,,,,,,,,,,,,,,,,,,,,0.267,,,,,,,,,,,,,,,0.2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_succinifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_hominis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila,5.4371,,0.1181,1.58443,5.6197,5.6686,0.1845,0.5678,,0.6299,0.2183,3.26953,0.25579,0.5668,,0.44585,0.5595,0.113,,4.71777,0.622,6.17674,0.3,0.23388,0.71763,0.12851,0.97374,1.1262,0.776,0.22669,0.9589,,1.69251,,1.51775,0.31,,,9.2539,,0.332,0.932,1.14848,1.73839,16.7583,,,,0.6424,0.3927,2.4299,0.1126,0.31457,,0.13446,2.7555,,0.237,0.4413,0.47914,0.3155,,,,0.8442,0.5629,0.8214,0.29481,0.245,,0.1658,,,,,,0.837,,,0.9953,,0.2431,,7.71381,,0.272,,,0.2153,3.1365,,,0.791,0.2844,0.19521,0.7927,4.4583,0.319,1.57595,,,,,0.8234,9.57425,,5.28325,1.23786,4.97454,7.55885
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Eukaryota_noname|f__Eukaryota_noname|g__Entamoeba|s__Entamoeba_dispar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Eukaryota|p__Microsporidia|c__Microsporidia_noname|o__Microsporidia_noname|f__Enterocytozoonidae|g__Enterocytozoon|s__Enterocytozoon_bieneusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobaceae_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
