disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme,,,,,,,,,0.75397,,,,,,,,,,,,0.14474,,,,,1.7182,,0.61288,,0.39332,,0.71392,,0.9279,0.467,,0.5532,,,,,0.25272,,,,,,0.1541,0.28721,0.365,0.5445,,,,,,,0.39791,,,,,1.9591,,,,,,,,,,,,1.1675,,,,,,,0.2232,0.6298,,0.42814,,,,,,,,0.91276,1.737,0.9519,0.3377,,,0.2364,,0.4389,,3.11787,0.5825,,1.15481,,,,,,0.1515,0.14484,0.24378,0.1365,,,,,0.34576,0.341,,0.3925,,,,,0.228,,,0.75739,0.213,,,,,,,,,,,,,,,,,,,,,,,,,0.4774,,,,,,,,0.152,,0.366,,,,,0.14656,,,,,,,,0.14834,,0.2926,,,,,,,,,,,,,1.16461,,,,,,,,,0.628,,0.3744,,0.4697,0.33495,,0.26796,0.8559,,,,,,,,,0.17941,,,,,,,,0.329,,,0.6848
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_cylindroides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,0.1581,,,0.332,,,,,,,,,,,,0.18456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,0.31616,0.1445,,,,0.213,0.142,0.15514,0.238,,0.11382,,0.739,0.678,0.863,0.3433,,0.261,0.4886,0.1639,0.7471,0.183,0.2262,0.34986,0.3369,0.2211,,0.2779,,0.3364,,0.18433,,0.2556,0.2277,0.44,0.893,0.2537,,0.644,0.65,0.31,,0.47,,0.648,0.4442,0.131,0.866,,0.175,,0.17277,0.534,0.973,0.398,,0.928,0.183,,0.7132,0.3287,0.3722,0.21863,0.33,0.377,0.653,0.126,0.2419,0.698,0.3254,0.228,,,0.385,0.8928,0.3788,,0.3427,,,0.1944,0.557,,0.128,,,0.881,,0.495,,0.14418,0.1916,,,,,,0.1154,0.11,0.461,,0.322,,,,0.245,,,,0.1433,0.2623,,0.637,0.4171,0.488,,,,0.116,0.3137,0.477,,,,,,,,0.116,0.1443,,0.91,0.3724,0.5322,0.341,,0.3382,0.1287,0.29321,0.1614,,0.1592,0.2256,0.2382,0.5146,0.2174,0.3939,0.195,0.472,,,,,0.8384,,,0.514,,,0.2963,,,,0.79,,0.179,,,,0.36,0.582,,0.459,,,0.1365,,,,0.1136,0.1956,0.16761,,,,0.1687,,,0.142,0.3422,,0.373,0.1963,0.184,,,0.55395,,,,,,0.66,,,0.1743,,,,,,0.988,,0.2239,,,,,,,,0.2979,,,,,,0.847,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,,,,,,,,,,,,,,,,,,0.536,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276,,,,,,,0.68,,0.148,,0.98,,,,,,,,,,0.9522,,,,,,,,,0.62,0.976,,,0.222,,,,,,,,0.1415,,,,0.67,,,,,,,,0.91,0.511,0.238,0.884,0.651,,,0.7939,0.17,,,,,,0.49,,,,,,,,,0.147,,,,,,,,,0.2421,,,,,0.939,,,,,,,,,,,0.1929,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,,,,,,0.1834,,,,0.1419,,,,,,,,,,,,,,,,0.2,,,,,,,,,,0.364,,,,,,0.428,0.1192,,0.2418,,,,,,,,,,,,,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1564,,,,,,,0.416,,,,,,0.219,,,,,,,,,,,,0.1372,,,,,,,,,,,,,,,,,,,,,,,0.1447,0.126,,,,0.1445,,,,,0.463,,,0.2874,,,0.1911,,,,,,,,,,,,,,,,,,,,0.228,,,,,0.413,,,,,,,,0.874,0.12,,,,,,,,,,,0.196,0.6558,,,0.743,,0.733,,,,,,,,,,,,,,,,,0.1536,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified,,,,,,0.292,,,,0.3554,,,,,,,,,,,,,0.37,,,0.43,,,,,,,,,0.22,0.424,,,,,,0.197,0.7,,0.8124,,,,,,,,,,,,,0.381,,,,,,,,,,,,,,,,,,0.596,,,,,,,,,,,,,,,,,,,,,,,,,0.978,0.838,,,,,0.2574,,,0.283,,,,,,,,,0.214,,,,,,,,,,,,,,,,,0.541,,,,,,0.5711,0.39,,,,0.1189,,,,,0.296,,,0.12187,,,0.372,,,,,,,,,,,,,,,,,,,,0.9239,,,,,0.877,,,,,,,,,0.3868,,,,,,,,,,,0.35,0.6661,,,0.167,,0.3294,,,,,,,,,,,,0.335,,,,0.72,0.29711,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified,,,,,,,,,,,,,,,,,,,,0.658,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389,,,,,,,,,,,,,,,,0.728,0.342,,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,0.13789,,,,,,0.337,,,0.362,,0.625,,,,,,,,,,,,0.217,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.877,,0.546,,,,,0.277,,,,0.222,,,,0.715,,,,,,,,,,,,,0.631,,,,,,,,,,,,,,0.111,,,,0.5712,,,,0.1399,,,,,,,,,,,,0.714,,0.13,,,,,,,,0.38164,,,,,,,0.193,,,,,,,,,,0.6,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans,,,,,,,,,0.155,,,0.1956,,,,,,,,,0.286,,,,,,,,,,0.319,,,,,,,,,,,,,,,,,,,,,,,,,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,0.289,,,,,,,,,,,,,,,,,0.2288,,,,,,,,,,,,,,,,,,,,,0.147,,0.946,,,,,,,,,,,,,0.431,,0.37,,,,,,,0.382,0.1115,,,0.13848,,,,0.115,,,,,,,,,,,,,,,,0.53,,,,0.7574,,,,,,0.48781,,,,0.663,0.1433,,,,,,,0.367,,0.131,,,,,,,0.262,0.1277,,,,,,,,,0.238,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini,,,,,,,,,0.1638,,,0.3675,,,,,,,,,0.123,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948,,,,,,,,,,,,,,,,0.66,,,,,0.668,,,,,,,,,,,,,,,,0.1786,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,0.149,,,,,,,,,,,,,,,,,,,0.375,,,0.4851,,,,,,,,,,,,,,,,,,0.13,,,,,,0.2526,,,,,,0.59877,,,,0.1676,0.1115,,,,,,,,,0.1927,,,,,,,0.5266,0.8826,,0.115,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_D21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens,,,,,,0.515,,,,,,,,,,,,0.78143,,,1.92577,,,0.276,,,,,1.75347,,0.161,,,0.82,,1.35365,,,0.84,0.133,,,,,,,,,,,,,0.587,,,8.652,,,,,,,,,0.516,,,,,,0.17,,,,,,,,,,1.3989,,,,4.96349,,,,0.438,0.643,,,,,,,,,3.52655,0.19756,,,,,,,,,,,,,,,,0.14,,,0.3139,17.41833,,,0.671,,,,,,,0.755,0.2561,0.21,,0.5444,,,,,,,,0.2522,,,,,0.3932,,,,,,,,,,,,,,,,0.178,,0.1671,,2.7121,,,,,,,,,,,,,,,0.154,,,0.39,,,,,,,,,,,,,,,,,,,,,,3.57671,0.46668,,,12.62445,0.92346,,,,,,,,,,,,,,,,,0.39433,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,,0.41,,,,,,,,,,,,,,,,,,,,,0.536,,,0.697,,,,,,,,,,,,,,,,,,,0.848,,,,,,0.2975,,,,1.19715,,,0.21217,,0.1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676,,,,,,,,,,,1.24162,,,,,,,,,,0.33215,,,,0.125,,,,,,0.24427,,0.562,,,,,0.7662,0.259,,0.1115,1.1384,0.497,,,,0.495,0.11532,,0.158,,,0.1413,,,0.773,0.686,0.1811,0.47972,0.591,0.2218,0.3567,,,,,0.4396,0.13,0.183,,0.286,0.88,,0.5676,0.1532,,,0.738,,0.156,,,,0.812,0.4447,0.1759,,0.127,1.5747,0.613,0.25125,,1.678,,,0.4135,0.144,0.386,0.3145,0.492,0.29,0.555,0.39268,,0.1193,0.69,0.121,0.437,0.764,,0.1161,,,0.7685,0.136,0.732,,0.3326,,,,,,0.36,1.76288,0.159,,,0.2426,,0.326,0.12525,,,,,,,0.5535,,0.1889,,0.46,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_micraerophilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_succinatiphilus,,,,,,,,,4.3311,,,,,,,,,,,,,,,,0.74,0.54388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7443,,0.15553,,,,,,,0.17868,,,,,,,,,,,,,,,,,,,0.52,0.34,,,,,,,,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.528,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_unclassified,,,,,,,,,0.22518,,,0.8789,,,,,0.28925,,,,0.43767,,,,0.791,,,,,,0.5668,,,,,,,,,,,,0.3787,,,,,,,,,,,,,,,,,,,,,0.2615,,0.1153,,,,,,0.44557,,,,,,,,,,,0.18468,,0.23645,,,,,,,,,,,,,,0.64287,,,,,1.892,,,,,,,0.4471,,,,,0.411,,,,0.14987,,0.77,,,,,,,,0.8376,,,0.1278,,,,,,,0.491,0.91151,,,,,,0.17364,0.232,,,,,,,0.3247,1.53484,,,,,,,,,,0.39252,,,1.3353,,,0.9326,,,,0.1219,,,,,,0.7631,,,,,,0.778,,,,0.1285,0.9223,,0.433,,,,24.12547,,,,0.3521,0.32523,,,,,,,,,,,,,,,0.4393,0.27556,0.76148,,,,,,,,0.4916,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_multacida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2664,,,,,,,,1.16515,,,,,,,,,,,,,,,,,,,,,,,,0.353,,,,,,,,,,2.93177,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,0.2226,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_unclassified,,,,,,,0.668,,,,,,,,,,,,,,0.1151,,,,0.637,0.424,0.1119,0.147,,0.933,,,,0.1215,,,0.853,,,0.1956,,,,,0.333,,,,,,0.162,0.1491,0.642,,0.1281,,,0.794,,,,,,,,,,,0.132,,,,,,,,,,,,0.1511,0.276,,,,,,,,,,,,,,0.32792,,,,,0.1195,,,,,,,,,,0.1247,,,,,0.295,,,,0.1427,,,,,0.9,,,,0.928,,,0.46,,,0.669,,,,,0.695,,,0.79,0.38,,0.19,,,0.56,0.2291,,0.1286,,,,0.179,,,0.835,0.146,,,,,,,,,,,0.382,,,,0.587,,,0.717,,,0.815,,0.298,0.328,,,0.419,,0.679,0.673,0.735,,0.287,,,0.4348,,,0.763,,,0.853,0.492,,0.292,0.1279,0.436,,,0.143,,,0.1376,,,,,,,0.6538,,,,,,,0.1696,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica,,,,0.172,,0.947,,0.5561,0.1338,0.684,0.86,,0.446,0.18,0.1686,0.576,0.119,,,,,,,,0.191,0.478,,,0.479,0.12165,0.15486,0.7858,0.368,0.1484,,,0.13333,0.797,0.1164,0.2252,0.1583,0.5572,0.1648,,2.7138,0.598,0.66,0.22811,0.1778,0.239,0.15166,,0.142,0.126,,0.3488,,0.2673,0.458,0.1879,0.1962,0.3876,,0.696,,0.736,0.452,0.2192,0.996,,0.83,0.2291,0.5825,0.1836,0.11341,,,,,0.25133,,0.369,,,,0.8446,,0.3517,0.161,0.2621,0.711,,0.226,0.773,,,0.6163,,,0.143,,0.1136,,0.6251,0.3558,,,0.215,,,,,,,0.5417,0.254,0.4847,0.4984,0.4277,0.92,0.53739,0.2623,0.12319,0.5264,0.57378,0.48485,0.827,0.11572,3.13819,0.125,0.74657,0.4444,0.7621,0.297,0.1989,0.16727,0.1656,0.9545,0.178,0.258,0.3284,,1.3218,0.1978,0.678,0.61561,0.1156,0.21624,2.42857,4.48376,0.11,0.8274,0.15494,0.633,0.717,0.19784,1.84521,0.981,6.25535,1.677,0.14499,0.98,0.1394,0.26,0.4654,0.37258,0.9128,1.47174,0.14294,0.7352,1.84347,0.4326,1.5527,0.1283,0.53382,,0.15351,2.727,0.4656,0.5264,0.9142,0.24595,0.18896,0.19358,0.83769,3.6995,2.9269,0.917,0.9131,0.5119,0.1173,0.357,0.1837,0.12135,0.28,0.5441,0.8794,0.1525,0.165,0.2773,4.19133,0.22131,0.31421,0.895,0.7889,2.8455,0.676,0.8245,0.14737,0.11953,0.457,2.43254,0.523,0.22783,1.5114,0.12671,0.4751,0.53468,0.1467,1.831,0.7856,0.292,0.34664,0.675,0.13832,0.29637,0.68423,0.1414,0.416,0.12922,0.6416,0.54169
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,,,,,,0.236,,0.484,0.121,,,,0.833,,0.99,,0.25,,,,,,,,,0.173,,,,0.1682,0.2239,0.5652,0.675,0.227,,,0.8355,0.216,0.28,0.19,0.732,0.2133,0.1758,0.134,1.198,0.2212,0.1955,0.222,0.382,0.44,0.13624,0.68,0.1269,0.78,,0.196,,0.151,0.628,0.1338,0.394,0.413,,,0.197,,,0.111,0.994,,0.49,0.94,,0.468,0.987,0.264,,0.3195,0.354,0.246,0.65,,,,,0.241,,0.2728,0.371,0.596,,,0.465,0.842,,,0.31,,,,0.326,0.94,,0.272,0.628,,0.1955,,,,,,,,0.625,0.28,0.747,0.646,0.2685,,0.34433,0.1133,0.234,0.58844,0.1653,0.1212,0.817,0.362,1.76153,0.97,0.9783,0.2143,0.1389,,0.37166,0.15642,0.429,0.3353,0.283,0.228,0.2978,,0.14856,0.2985,0.1826,0.2563,0.1764,0.21393,0.49445,1.14355,0.2323,0.26179,0.79867,0.657,0.5878,0.12354,0.11641,0.36914,4.6542,1.36675,0.825,0.7167,9.48545,0.1295,0.6787,0.5539,0.69388,1.44734,2.1974,0.138,0.3817,0.35844,3.1225,0.52,0.1737,0.6319,0.1797,0.99753,0.6342,0.994,0.12643,0.21453,0.16182,0.13158,0.49567,1.6414,0.65726,0.254,0.88258,0.2725,0.38413,0.3639,0.3222,0.51139,0.17277,3.4233,0.1982,0.1416,0.96,0.555,3.4377,0.43934,0.63,0.769,0.4917,0.73544,0.297,0.1227,0.52,0.1164,0.439,13.61568,0.18239,1.1744,3.43749,0.492,0.1363,2.2877,0.1611,0.18141,0.7657,0.366,0.16266,0.113,0.775,0.94,0.24694,,0.373,2.8453,0.124,0.5351
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,,,,0.4221,,0.2569,0.58,0.9583,0.1787,0.7397,0.184,0.452,0.6684,0.282,0.1656,0.715,0.44247,,,0.75,0.335,,0.2998,,0.75,0.442,0.498,0.444,0.3155,0.3917,0.6493,0.25313,0.2889,0.2137,0.226,,0.26371,0.2941,0.248,0.6691,0.1983,0.341,0.1686,0.142,1.94512,0.521,0.2985,0.1353,0.1964,0.891,2.53372,0.2457,0.4526,0.2411,,0.3378,,0.19571,0.3254,0.12239,0.1281,0.8533,0.954,0.3828,,0.631,0.627,0.9667,0.5825,0.2784,0.2313,0.3968,0.624,0.2457,0.6628,0.1249,0.1436,0.9814,0.2134,0.2737,,0.446,0.135,,,0.4739,,0.5978,0.8772,0.8187,0.5762,,0.25554,0.1221,0.4391,0.162,0.1931,,0.872,0.545,0.1962,0.1594,,0.5768,0.8835,0.1379,0.2378,0.1674,0.127,0.1382,,0.339,,0.3495,0.5364,0.445,0.4547,0.442,0.2988,0.829,0.24966,0.3148,0.1498,0.46917,0.53615,0.87943,0.1786,0.214,1.69456,0.29978,0.321,0.777,0.33586,0.112,4.12698,0.7222,0.856,0.91585,0.1993,0.4876,1.98575,0.143,0.447,2.61464,0.298,1.49236,0.4196,0.95264,3.15766,3.51952,0.6532,1.48266,0.14483,3.698,0.773,0.1622,5.4245,0.28466,6.733,0.18519,0.8164,0.28762,7.6464,0.5757,0.4819,3.19434,0.8675,1.28474,1.5258,0.8397,3.65276,1.2355,2.61679,0.14,0.4189,4.45538,0.21117,1.62488,0.874,0.432,0.1156,0.8532,0.46437,1.9857,0.6165,0.74144,8.8137,0.9367,1.23348,0.26467,2.27595,0.2851,0.3176,0.55636,13.62877,0.22411,1.93663,0.2833,2.61176,0.77351,8.3163,1.9926,0.66736,0.12981,0.357,2.6345,0.22,0.12263,0.13411,0.27623,0.13858,1.73642,0.27556,0.26126,3.8289,0.3622,0.35262,0.49698,0.6474,0.1466,0.18463,0.14196,0.958,0.762,0.9234,0.1452,1.16649,0.2478,1.945,0.16524,1.77749,0.6524
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified,0.283,0.779,,0.2915,,0.8311,0.566,0.27699,0.4525,0.194,0.2172,0.3667,0.1164,0.76,0.1757,0.147,,0.316,,0.734,0.1632,0.715,0.19,,0.1183,0.617,0.16,0.342,0.2649,0.362,0.2919,1.56917,0.3811,0.1716,0.36,,0.31673,0.1326,0.2277,0.9674,0.284,0.1235,0.4762,0.685,14.54532,0.3238,0.214,0.44311,0.875,0.1473,6.5935,0.439,0.412,0.1529,,0.17638,0.218,0.6854,0.293,0.414,0.1467,0.24,0.1518,0.183,0.968,0.92,0.728,0.2927,0.2772,0.4183,0.1887,0.459,0.44,0.246,0.3563,0.3568,0.252,0.9297,0.3241,0.6227,0.397,0.869,0.1513,0.2116,0.1567,,,0.8285,0.486,0.11669,0.478,0.1377,0.31631,0.8632,0.89,0.2565,0.2874,,0.3491,0.4957,0.176,0.2857,0.1468,0.5845,0.767,0.2823,0.525,0.4283,0.6979,0.7273,,0.95,0.293,0.157,0.134,0.564,0.8373,0.214,0.85359,0.1258,5.8514,0.14184,0.335,3.89831,5.688,1.61822,1.39873,0.5151,17.3341,2.214,1.63698,2.45539,1.79553,0.1322,4.437,7.78759,0.22426,2.8817,0.3764,0.78,2.2982,0.725,3.86881,1.28,2.42768,4.7122,0.11229,2.52688,8.19328,18.31793,0.8935,5.4422,1.233,6.98173,0.812,2.72444,6.71663,0.22766,25.2546,12.669,0.2367,2.28619,37.2596,0.3361,0.2532,8.15,4.22696,8.37646,8.9839,0.3136,1.29582,4.83165,17.55376,0.9756,2.16546,1.2494,0.66844,14.38875,2.35875,0.2945,0.274,2.63859,1.7727,2.17887,12.352,11.13875,21.44835,0.93,13.31181,0.4564,3.3982,0.3235,0.15339,2.9428,5.3669,0.32846,1.7111,,2.22975,4.3649,16.86841,1.99454,2.59219,0.2454,1.55871,8.12334,0.12,3.32293,,1.967,1.37474,,0.96114,11.6321,24.77885,0.52411,1.26389,13.9481,0.21117,6.85542,0.28293,0.7614,0.3413,0.12669,0.99258,0.34322,2.97192,0.2952,1.7912,4.68169,3.1926,1.14
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_gonidiaformans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8826,,0.1182,,,,,,,,,,,,,,,,,,,,0.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8773,,,,,,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.52,,,0.3282,0.12599,,0.12222,0.5443,,,,3.1476,0.555,0.3454,0.64,,0.22614,,0.13,,,0.26334,,0.735,0.9426,,,0.3765,0.9859,,0.989,,,0.174,0.25,0.7434,0.415,0.54328,0.8179,,0.1585,,,0.42,0.4333,0.369,0.1327,0.414,0.247,0.3251,0.574,1.57821,,0.844,0.222,,0.1162,0.2895,,,0.74,0.135,0.8321,0.51,0.2146,0.39418,,0.4617,0.5754,0.157,,0.243,0.564,0.3438,0.216,0.525,,,,0.199,0.45895,0.88,,0.4316,0.181,,0.193,,0.312,,0.31142,,0.7948,0.82,0.196,0.3973,,,0.4641,,,,,,,0.8899,,,,0.8251,
